State,Website,Department,Phone,Location,City
Alabama ,http://revenue.alabama.gov/bru/index.cfm,Business Registration Unit,334-242-1584,2545 Taylor Road,Montgomery
Alaska ,https://www.commerce.alaska.gov/web/cbpl/businesslicensing.aspx,Business Licensing,907-465-2550,333 W. Willoughby Avenue,Juneau
Arizona ,https://www.azsos.gov/business,Business Services Division,602-542-6187,1700 W Washington St,Phoenix
Arkansas ,http://www.arkansas.gov/business,Business & Commercial Services,888-233-0325,1401 W. Capitol Avenue,Little Rock
California ,http://www.ca.gov/Agencies/Secretary-of-State/Agency-Services/Form-a-Business,Secretary of State,916-653-6814,1500 11th Street,Sacramento
Colorado ,http://www.sos.state.co.us/biz/FileDoc.do,Secretary of State,303-894-2200,1700 Broadway,Denver
Connecticut ,http://www.ct.gov/sots/cwp/view.asp?a=3172&q=525434,Office of the Secretary of the State,860-509-6002,Wd,Hartford
Delaware ,https://onestop.delaware.gov/osbrlpublic/Home.jsp,Davison of Revenue,302-577-8778,820 North French Street,Wilmington
Florida ,http://www.myflorida.com/taxonomy/business/,Business Regulation,850-487-1395,2601 Blair Stone Road,Tallahassee
Georgia ,http://sos.ga.gov/index.php/corporations/first_stop_business_guide,Georgia Secretary of State,404-656-2817,214 State Capitol,Atlanta
Hawaii ,http://cca.hawaii.gov/breg/,Business Registration Division,808-586-2545,1130 North Nimitz Highway,Honolulu
Idaho ,https://tax.idaho.gov/i-1159.cfm,Idaho Business Registration Information,208-334-2301,450 N. 4th Street,Boise
Illinois,https://www2.illinois.gov/business,Illinois Department of Revenue,800-732-8866,100 West Randolph Street,Chicago
Indiana ,https://inbiz.in.gov/BOS/Home/Index,Department of Revenue & Workforce Development,317-234-9768,302 W. Washington Street,Indianapolis
Iowa ,https://tax.iowa.gov/starting-business,Iowa Department of Revenue,515-281-3114,P.O. Box 10457,Des Moines
Kansas ,http://www.kansas.gov/businesscenter/,Kansas Business Center,877-521-8600,534 S. Kansas Avenue,Topeka
Kentucky ,http://onestop.ky.gov/Pages/default.aspx,Kentucky One Stop Business Portal,502-782-8930,700 Capital Avenue,Frankfort
Louisiana ,http://revenue.louisiana.gov/Businesses/BusinessRegistration,Louisiana Department of Revenue,855-307-3893,617 North Third Street,Baton Rouge
Maine ,http://www.maine.gov/portal/business/licensing.html,Bureau of Corporations,207-624-7752,111 Sewall St,Augusta
Maryland ,http://commerce.maryland.gov/start/the-process,Department of Commerce,888-246-6736,401 E.Pratt Street ,Baltimore
Massachusetts ,http://www.sec.state.ma.us/cor/corfilesubject.htm,Secretary of the Commonwealth of Massachusetts,617-727-9640,One Ashburton Place,Boston
Michigan ,"http://www.michigan.gov/lara/0,4601,7-154-61343_35413_35426---,00.html",Department of Licensing and Regulatory Affairs,517-373-1820 ,P.O. Box 30004,Lansing
Minnesota ,http://www.sos.state.mn.us/business-liens/start-a-business/,Office of the Minnesota Secretary of State,651-296-2803,60 Empire Dr.,Saint Paul
Mississippi ,http://www.sos.ms.gov/BusinessServices/Pages/default.aspx,Secretary of State,800-256-2494,125 S. Congress Street,Jackson
Missouri ,https://www.sos.mo.gov/business/startBusiness,Missouri Secretary of State,573-751-4153,600 West Main Street ,Jefferson City
Montana,http://sos.mt.gov/business/startup/index,Montana Secretary of State,406-444-3665,1301 6th Avenue,Helena
Nebraska ,http://www.sos.ne.gov/business/corp_serv/index.html,Nebraska One-Stop Business,402-471-4079,P.O. Box 94608,Lincoln
Nevada ,http://nv.gov/business/,Secretary of State,702-486-2750,3300 W. Sahara Avenue,Las Vegas
New Hampshire ,https://www.revenue.nh.gov/faq/register-business.htm,Department of Revenue Administration,603-230-5920,109 Pleasant Street,Concord
New Jersey ,http://www.state.nj.us/treasury/revenue/gettingregistered.shtml,Department of Treasury,609-292-6748,P. O. Box 002,Trenton
New Mexico ,http://www.newmexico.gov/business/default.aspx,Taxation & Revenue,505-827-0700,1100 South St. Francis Drive,Sante Fe
New York ,https://www.businessexpress.ny.gov/,Department of Taxation and Finance,800-221-2972,"9, W A Harriman Campus",Albany
North Carolina ,https://www.nc.gov/services/starting-business-nc/business-registration,Department of the Secretary of State,919-814-5400,P.O. Box 29622,Raleigh
North Dakota ,http://sos.nd.gov/business/business-services,North Dakota Secretary of State,800-352-0867,600 E Boulevard Avenue,Bismark
Ohio ,http://www.sos.state.oh.us/sos/Businesses.aspx,Ohio Secretary of State,877-767-6446,180 East Broad Street,Columbus
Oklahoma ,https://www.sos.ok.gov/business/default.aspx,Oklahoma Secretary of State,405-522-2520,421 N.W. 13th,Oklahoma City
Oregon ,http://sos.oregon.gov/business/Pages/default.aspx,Oregon Secretary of State,503-986-2200​​​​​​,255 Capitol St. NE,Salem
Pennsylvania,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Pages/default.aspx#.WVRaYojytPY,Department of Revenue,717-787-1064,"1133 Strawberry St,",Harrisburg
Rhode Island ,http://sos.ri.gov/divisions/Business-Portal,Rhode Island Department of State,401-222-3040,148 West River Street,Providence
South Carolina ,http://www.sc.gov/business/Pages/licensePermitsAndRegistration.aspx,South Carolina Secretary of State,866-340-7105,1301 Gervais Street,Columbia
South Dakota ,http://www.sdreadytowork.com/Build-Your-Business/Start-Your-Business.aspx,Governor Office of Economic Development,605-367-5757,711 E. Wells Avenue,Pierre
Tennessee ,http://www.tn.gov/ecd/topic/how-to-start-a-business,Department of Economic & Community Development,615-741-1888,312 Rosa L. Parks Avenue,Nashville
Texas ,http://www.sos.state.tx.us/corp/index.shtml,Texas Secretary of State,512-463-5555,P.O. Box 13697,Austin
Utah ,https://www.utah.gov/business/,Department of Commerce,877-526-3994,160 E 300 S,Salt Lake City
Vermont ,https://www.sec.state.vt.us/corporationsbusiness-services.aspx,Vermont Secretary of State,800-439-8683,128 State Street,Montpelier
Virginia ,https://www.scc.virginia.gov/clk/begin.aspx,Office of the Clerk,866-722-2551,1300 E. Main St.,Richmond
Washington ,http://dor.wa.gov/content/doingbusiness/registermybusiness/,Department of Revenue Washington State,800-647-7706,2101 4th Ave ,Seattle
Washington DC,https://dcra.dc.gov/page/business-licensing-corporate-registration,Department of Consumer and Regulatory Affairs,202-442-4400,"1100 4th Street, SW",Washington
West Virginia ,http://www.sos.wv.gov/business-licensing/Pages/default.aspx,West Virginia Secretary of State,866-767-8683,1900 Kanawha Boulevard East,Charleston
Wisconsin ,https://www.revenue.wi.gov/Pages/Businesses/home.aspx,Wisconsin Department of Revenue,608-266-2772,2135 Rimrock Road,Madison
Wyoming,http://soswy.state.wy.us/Business/StartABusiness.aspx,Wyoming Secretary of State,307-777-7311,2020 Carey Avenue,Cheyenne